Note: The data and information in this document is reflective of a hypothetical situation and client. This document is to be used for KPMG Virtual Internship purposes only. ,,,,,,,,,,,,,,,,,,,,,,,,,
customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure,,,,,,,,,,,,,
34,Jephthah,Bachmann,U,59,1843-12-21,Legal Assistant,IT,Affluent Customer,N,,No,20,,,,,,,,,,,,,
66,Anselm,Gawne,Male,46,2002-03-11,Account Executive,Argiculture,High Net Worth,N,ï½ï½¨(Â´âï½â©,No,1,,,,,,,,,,,,,
1888,Sibyl,Scholtz,Female,67,2002-01-26,Food Chemist,Health,Mass Customer,N,NULL,Yes,1,,,,,,,,,,,,,
3435,Stevena,Allcock,Female,80,2002-01-15,Senior Editor,n/a,Affluent Customer,N,ÅâÂ´â°ËÃÂ¨ËÃâââ,No,1,,,,,,,,,,,,,
2858,Benedicto,Radki,Male,4,2002-01-09,Recruiting Manager,n/a,Mass Customer,N,testâ testâ«,Yes,1,,,,,,,,,,,,,
422,Vito,Norker,Male,78,2002-01-06,,Manufacturing,Affluent Customer,N,ğµ ğ ğ ğ,No,1,,,,,,,,,,,,,
2296,Nathalia,Sanger,Female,16,2002-01-01,Geologist IV,Retail,Affluent Customer,N,ï½ï½¨(Â´âï½â©,No,1,,,,,,,,,,,,,
470,Darbee,Klimowicz,Male,22,2001-12-19,Internal Auditor,Retail,Mass Customer,N,,No,1,,,,,,,,,,,,,
3949,Costa,Sleightholm,Male,24,2001-12-19,Web Designer IV,Manufacturing,High Net Worth,N,-0.5,Yes,1,,,,,,,,,,,,,
1402,Hillier,Andraud,Male,58,2001-12-08,Assistant Professor,Telecommunications,Mass Customer,N,ÅâÂ´â°ËÃÂ¨ËÃâââ,No,1,,,,,,,,,,,,,
1519,Marwin,Jeyness,Male,35,2001-11-30,Administrative Assistant IV,Telecommunications,High Net Worth,N,â©testâ©,Yes,1,,,,,,,,,,,,,
212,Nanice,Ellse,Female,21,2001-11-19,Desktop Support Technician,IT,Affluent Customer,N,â°â´âµ,No,1,,,,,,,,,,,,,
2759,Melodee,Hendrik,Female,16,2001-11-14,Operator,Health,Affluent Customer,N,â°â´âµâââ,Yes,1,,,,,,,,,,,,,
447,Brittany,Peasey,Female,98,2001-11-06,Help Desk Technician,Argiculture,Mass Customer,N,â¦testâ§,Yes,1,,,,,,,,,,,,,
1250,Jacklyn,Kewley,Female,42,2001-11-02,Help Desk Technician,Manufacturing,Mass Customer,N,0/0,No,1,,,,,,,,,,,,,
751,Amie,Dufty,Female,41,2001-10-31,Business Systems Development Analyst,Financial Services,Affluent Customer,N,nil,No,1,,,,,,,,,,,,,
1322,Kathye,Christie,Female,37,2001-10-16,Data Coordiator,Financial Services,Mass Customer,N,ğ©ğ½,Yes,1,,,,,,,,,,,,,
3173,Angelo,,Male,55,2001-10-10,Computer Systems Analyst I,Health,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,1,,,,,,,,,,,,,
442,Linc,Vedyasov,Male,2,2001-10-06,,Financial Services,Mass Customer,N,<img src=x onerror=alert('hi') />,No,1,,,,,,,,,,,,,
245,Noell,Grahlmans,Female,6,2001-09-26,Associate Professor,Financial Services,Affluent Customer,N,ğ¾ ğ ğ ğ ğ ğ ğ ğ,No,1,,,,,,,,,,,,,
105,Maribeth,Pristnor,Female,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,"<>?:""{}|_+",No,1,,,,,,,,,,,,,
3997,Blanch,Nisuis,Female,87,2001-07-13,Statistician II,Manufacturing,High Net Worth,N,â¦testâ§,Yes,1,,,,,,,,,,,,,
2808,Preston,Tinkham,Male,68,2001-06-29,Actuary,Financial Services,Mass Customer,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,Yes,1,,,,,,,,,,,,,
3254,Lissy,Paliser,Female,8,2001-05-22,Human Resources Assistant I,Financial Services,Mass Customer,N,â,No,1,,,,,,,,,,,,,
3607,Troy,Blaydes,Male,99,2001-05-22,Clinical Specialist,Health,Mass Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,No,1,,,,,,,,,,,,,
2628,Giselbert,Gudyer,Male,29,2001-05-21,Assistant Media Planner,Entertainment,Affluent Customer,N,â©testâ©,No,1,,,,,,,,,,,,,
1813,Reeva,Eakeley,Female,45,2001-05-19,Technical Writer,Manufacturing,Mass Customer,N,ï¼ï¼ï¼,No,1,,,,,,,,,,,,,
874,Howard,Oseland,Male,78,2001-05-05,,Health,Mass Customer,N,ç¤¾æç§å­¸é¢èªå­¸ç ç©¶æ,Yes,1,,,,,,,,,,,,,
540,Tresa,Dy,Female,80,2001-04-28,Chemical Engineer,Manufacturing,Mass Customer,N,á ,No,1,,,,,,,,,,,,,
3112,Terri,Gornal,Male,41,2001-04-22,Internal Auditor,Retail,High Net Worth,N,"×Ö¼Ö°×¨Öµ××©×Ö´××ª, ×Ö¼Ö¸×¨Ö¸× ×Ö±×Ö¹×Ö´××, ×Öµ×ª ×Ö·×©Ö¼×Ö¸×Ö·×Ö´×, ×Ö°×Öµ×ª ×Ö¸×Ö¸×¨Ö¶×¥",Yes,1,,,,,,,,,,,,,
3749,Blondelle,Swynley,Female,3,2001-04-21,,IT,Affluent Customer,N,!@#$%^&*(),No,1,,,,,,,,,,,,,
19,Sorcha,Keyson,Female,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,ÅâÂ´â°ËÃÂ¨ËÃâââ,No,1,,,,,,,,,,,,,
1355,Isador,Hallitt,Male,37,2001-04-04,VP Quality Control,Property,Mass Customer,N,"'""''''""",No,1,,,,,,,,,,,,,
3616,Vale,Dagnan,Male,42,2001-04-02,Product Engineer,Property,High Net Worth,N,á ,No,2,,,,,,,,,,,,,
2812,Molli,Hagergham,Female,16,2001-04-01,Budget/Accounting Analyst IV,n/a,High Net Worth,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,Yes,1,,,,,,,,,,,,,
3014,Terrijo,Merlin,Female,59,2001-03-30,Software Engineer II,n/a,High Net Worth,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ğ,No,1,,,,,,,,,,,,,
2600,Darnell,Wistance,Male,55,2001-03-03,Senior Financial Analyst,Financial Services,Mass Customer,N,1;DROP TABLE users,Yes,1,,,,,,,,,,,,,
829,Byran,Goodfield,Male,84,2001-01-22,Environmental Tech,Financial Services,High Net Worth,N,â«testâ«,Yes,2,,,,,,,,,,,,,
2869,Gavra,Woolvin,Female,19,2001-01-16,,Manufacturing,Affluent Customer,N,1.00E+02,No,2,,,,,,,,,,,,,
2392,Isadora,Gronaller,Female,48,2001-01-11,Marketing Assistant,Manufacturing,Affluent Customer,N,ã,No,2,,,,,,,,,,,,,
2588,Kimball,Martinho,Male,37,2001-01-02,Professor,n/a,High Net Worth,N,<svg><script>0<1>alert('XSS')</script>,No,2,,,,,,,,,,,,,
2998,Quintana,Housley,Female,34,2000-12-19,Nurse Practicioner,Manufacturing,High Net Worth,N,ÅâÂ´â°ËÃÂ¨ËÃâââ,Yes,2,,,,,,,,,,,,,
3367,Melisse,Massei,Female,75,2000-12-05,Librarian,Entertainment,Mass Customer,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),Yes,1,,,,,,,,,,,,,
3459,Emelda,Ramsdell,Female,62,2000-11-24,,Entertainment,Mass Customer,N,"''''""",Yes,2,,,,,,,,,,,,,
609,Margalit,Dorwood,Female,32,2000-11-06,Computer Systems Analyst II,Health,Mass Customer,N,ì¸ëë°í ë¥´,No,1,,,,,,,,,,,,,
852,Andie,Bonney,Female,37,2000-11-04,Compensation Analyst,Financial Services,Affluent Customer,N,!@#$%^&*(),Yes,2,,,,,,,,,,,,,
913,Dayle,Spearman,Female,67,2000-10-28,,Financial Services,Mass Customer,N,ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾,No,1,,,,,,,,,,,,,
2989,Mort,,Male,37,2000-10-25,Dental Hygienist,Health,High Net Worth,N,Â¸ËÃâÄ±ËÃÂ¯ËÂ¿,Yes,2,,,,,,,,,,,,,
854,Charisse,Thoresby,Female,35,2000-10-24,Marketing Manager,n/a,Affluent Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,2,,,,,,,,,,,,,
1354,Karee,Hyman,Female,0,2000-10-15,Analyst Programmer,Financial Services,Affluent Customer,N,ï¼ï¼ï¼,No,2,,,,,,,,,,,,,
1798,Eunice,Risom,Female,46,2000-10-11,Electrical Engineer,Manufacturing,High Net Worth,N,ì¸ëë°í ë¥´,Yes,1,,,,,,,,,,,,,
2398,Mirelle,,Female,6,2000-10-11,Administrative Assistant IV,Financial Services,High Net Worth,N,ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾,Yes,1,,,,,,,,,,,,,
850,Nevin,Hanfrey,Male,79,2000-09-24,Clinical Specialist,Health,Mass Customer,N,,No,1,,,,,,,,,,,,,
3015,Queenie,Flips,Female,25,2000-09-02,Assistant Manager,Retail,Affluent Customer,N,ğ,No,1,,,,,,,,,,,,,
373,Eva,Colenutt,Female,95,2000-08-26,Structural Analysis Engineer,Health,High Net Worth,N,Â¡â¢Â£Â¢âÂ§Â¶â¢ÂªÂºââ ,Yes,1,,,,,,,,,,,,,
3077,Emelen,Gillopp,Male,19,2000-08-11,Information Systems Manager,Manufacturing,Affluent Customer,N,â°â´âµâââ,No,2,,,,,,,,,,,,,
110,Sascha,St. Quintin,Male,23,2000-07-31,,Financial Services,Affluent Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,1,,,,,,,,,,,,,
